Fri Feb 07 2020 21:38:16 GMT-0500 (Eastern Standard Time) - Run Time: 3498ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig      trip_m      total
          19         702          3
          19         706         15
          19         715          5
          19         721         20
          19         725         41
          19         743         10
          19         755         25
          19         802          3
          19         815         23
          19         829          3
          19         840         61
          19         872         12
          19         874         23
          19         875         29
          19         911         11
          19        1033         57
          19        1076          7
          19        1136         14
          19        1165         11
          19        1178         25
          19        1183         14
          19        1291         10
          19        1328         11
          19        1349         19
          19        1353          4
          19        1370         17
          19        1408          3
          19        1456         25
          19        1478         61
          19        1488         19
          19        1489         16
          19        1494         12
          19        1496         17
          19        1517          3
          19        1522          3
          19        1560          5
          19        1592         15
          19        1613          3
          19        1623         15
          19        1638         12
          19        1679         24
          19        1696         14
          19        1716         13
          19        1786         10
          19        1826         86
          19        1833          5
          19        1834         14
          19        1838         10
          19        1869          7
          19        1894         13
          19        1898          9
          19        1908         12
          19        1962          7
          19        1974         40
          19        1977          4
          19        1981          3
          19        2052         11
          19        2064         17
          19        2066         25
          19        2072          7
          19        2104         15
          19        2113         15
          19        2215         10
          19        2217         10
          19        2224          3
          19        2241          3
          19        2273          5
          19        2290         17
          19        2359          8
          19        2368          4
          19        2375          3
          19        2377         14
          19        2393          3
          19        2425          5
          19        2474          4
          19        2477          5
          19        2502          3
          19        2526          5
          19        2552         30
          19        2575          4
          19        2598          3
          19        2633         14
          19        2649         29
          19        2708         30
          19        2720          3
          19        2803          5
          19        2841          3
          19        3012         18
          19        3115          3
          19        3827         17
          19        4066         16
          19        4932         14
          19        5146          5
          19        5322         18
          20         234          4
          20         238         46
          20         310          6
          20         330         26
          20         374          5
          20         436          8
          20         552         14
          20         575         11
          20         595         34
          20         607         17
          20         634          6
          20         649          6
          20         687         25
          20         691         19
          20         702          3
          20         707         14
          20         721          6
          20         779          5
          20         785         12
          20         816         11
          20         821         16
          20         825         12
          20        1018         22
          20        1038         20
          20        1043          3
          20        1062         60
          20        1139          5
          20        1448         12
          20        1492         35
          20        1501         17
          20        1516         18
          20        1553         10
          20        1558          3
          20        1562          3
          20        1591         11
          20        1631         10
          20        1658          6
          20        1682          3
          20        1684          6
          20        1705          3
          20        1709          3
          20        1737          5
          20        1751          4
          20        1803         11
          20        1832          4
          20        1856          3
          20        1870          4
          20        1876          7
          20        1899         13
          20        1928         15
          20        1941          5
          20        1950          9
          20        1961         14
          20        2032         19
          20        2037          7
          20        2051          3
          20        2064         19
          20        2083          3
          20        2098          4
          20        2141          5
          20        2162         18
          20        2177          3
          20        2186         11
          20        2213         11
          20        2251          7
          20        2267         13
          20        2289          5
          20        2302          4
          20        2303          5
          20        2312          3
          20        2374          8
          20        2402         12
          20        2418         21
          20        2424          7
          20        2429         17
          20        2460         17
          20        2467         35
          20        2480          4
          20        2487         46
          20        2492         25
          20        2497         18
          20        2532          3
          20        2655          5
          20        2686         12
          20        2714         15
