Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          49          39         43
          49          42         30
          49          43         86
          49          45         34
          49          46        108
          49          47         67
          49          48         63
          49          49         31
          49          50        162
          49          51         66
          49          53         39
          49          55         11
          49          57         63
          49          58         11
          49          59         10
          49          60         23
          49          62         37
          49          63         51
          49          64         79
          49          65         50
          49          66        100
          49          67         52
          49          68         79
          49          70         28
          49          71        149
          49          72        149
          49          74         57
          49          75         42
          49          76         14
          49          77        103
          49          79         76
          49          84         45
          49          85         12
          49          89         81
          49          90        134
          50          10         28
          50          15         51
          50          17        170
          50          19         11
          50          20         10
          50          21        156
          50          22         42
          50          23          5
          50          24         59
          50          25        100
          50          26         12
          50          30         21
          50          34         64
          50          35          5
          50          36         48
          50          37         31
          50          38         78
          50          39         29
          50          40         76
          50          41         55
          50          42         79
          50          43         32
          50          45        212
          50          46        127
          50          48         83
          50          50        268
          50          51        134
          50          52         48
          50          53         24
          50          54         22
          50          55         18
          50          57         34
          50          59         19
          50          62         50
          50          63         57
          50          64         36
          50          65          4
          50          66         87
          50          67         89
          50          68         96
          50          69         43
          50          70         33
          50          71         18
          50          72         30
          50          75         50
          50          77         87
          50          78         23
          50          79         55
          50          89         88
          50          90         19
          51          11         63
          51          15         63
          51          16         33
          51          17         22
          51          18         67
          51          19         34
          51          20          3
          51          21        228
          51          22         40
          51          25         89
          51          26         19
          51          30         18
          51          34         25
          51          35         54
          51          36         75
          51          37         74
          51          38        271
          51          39         99
          51          40         11
          51          41         47
          51          42        157
          51          43         61
          51          44         72
          51          45        113
          51          46        108
          51          48         85
          51          49        109
          51          50        357
          51          51        170
          51          52         93
          51          53        175
          51          55         63
          51          57         30
          51          58         41
          51          59         97
          51          60         65
          51          61         19
          51          62         58
          51          63         27
          51          64        106
          51          65         69
          51          66        136
