Fri Feb 07 2020 21:25:37 GMT-0500 (Eastern Standard Time) - Run Time: 3054ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          35          86         12
          35          89         32
          35          90        111
          36           1          4
          36           3         16
          36           9         11
          36          11         33
          36          14         51
          36          15        175
          36          16         80
          36          17         38
          36          18         38
          36          19          8
          36          20          4
          36          21        353
          36          22        188
          36          23        148
          36          24         24
          36          25        463
          36          26        319
          36          28         11
          36          29         12
          36          30         22
          36          32         19
          36          34        147
          36          35        126
          36          36        377
          36          37        115
          36          38        159
          36          39         52
          36          40         63
          36          41        191
          36          42         83
          36          43         73
          36          44         25
          36          45        135
          36          46        178
          36          47         14
          36          48         14
          36          49         15
          36          50         94
          36          51        178
          36          52        378
          36          53         72
          36          54        370
          36          55        390
          36          56         72
          36          57        159
          36          58         26
          36          59        175
          36          60        211
          36          61         82
          36          62        124
          36          63        155
          36          64        207
          36          65        176
          36          66        268
          36          67        281
          36          68         62
          36          69        193
          36          70         27
          36          71        145
          36          72         40
          36          73         13
          36          75        152
          36          77         70
          36          78        147
          36          79        117
          36          80          4
          36          82         38
          36          84        121
          36          89         97
          36          90        190
          37           1         14
          37           6         11
          37          14         44
          37          15         67
          37          16         85
          37          17        148
          37          18         60
          37          19         29
          37          20         29
          37          21        214
          37          22        223
          37          23         29
          37          24         59
          37          25        376
          37          26        142
          37          29         10
          37          31         19
          37          34        159
          37          35        107
          37          36         90
          37          37        434
          37          38        279
          37          40        153
          37          41         37
          37          42        159
          37          43         26
          37          45         59
          37          46        187
          37          47         70
          37          48         77
          37          49         67
          37          50        180
          37          51        181
          37          52        390
          37          53        117
          37          54        120
          37          55        234
          37          56         44
          37          57         84
          37          58         11
          37          59         73
          37          60        127
          37          61         55
          37          62         17
          37          63         69
          37          64         40
          37          65        132
          37          66        193
          37          67        127
          37          68        162
          37          69        238
          37          70         53
          37          71        114
          37          72         34
          37          73         10
          37          74          7
          37          75         43
          37          76         82
          37          77        156
          37          79         49
          37          80         58
          37          81         26
          37          82         14
          37          84         55
          37          89        100
          37          90        157
          38           1         15
          38           5         16
          38          11          6
          38          14          7
          38          15         51
          38          16         42
          38          17        305
          38          18        247
          38          19         15
          38          20         71
          38          21        282
          38          22        168
          38          23        239
          38          24        328
          38          25        732
          38          26        146
          38          29         19
          38          32         30
          38          33         38
          38          34        133
          38          35        147
          38          36        138
          38          37        289
          38          38       1348
          38          39        146
          38          40        369
          38          41        208
          38          42        328
          38          43        230
          38          44         82
          38          45        207
          38          46        418
          38          47         88
          38          48        141
          38          49        168
          38          50        335
          38          51        332
          38          52        756
          38          53        150
          38          54         46
          38          55        184
          38          56        111
          38          57        107
          38          58         20
          38          59         54
          38          60         49
          38          61         57
          38          62         48
          38          63         30
          38          64         15
          38          65        239
          38          66        311
          38          67        297
          38          68        165
          38          69        413
          38          70         60
          38          71        240
          38          72         38
          38          73          7
          38          74         55
          38          75        268
          38          76        147
          38          77        143
          38          78         76
          38          79        175
          38          80         30
          38          84         62
          38          89         68
          38          90        248
          39          15         31
          39          16         21
          39          17         16
          39          18         14
          39          19         20
          39          21        132
          39          22        143
          39          23         25
          39          24        148
          39          25         35
          39          28         23
          39          33         35
          39          36         33
          39          37          9
          39          38         56
          39          39        120
          39          40        158
          39          41         33
          39          43         82
          39          44         29
          39          45        179
          39          46         51
          39          47         27
          39          48         72
          39          49         61
          39          50        103
          39          51        103
          39          52        103
          39          53          7
          39          54         13
          39          55         34
          39          56         33
          39          57         21
          39          59         11
          39          60         22
          39          61         22
          39          62         26
          39          63         93
          39          64         14
          39          65         10
          39          66         47
          39          67         40
          39          68         40
          39          69         13
          39          71         58
          39          72         14
          39          75          9
          39          76         34
          39          78         11
          39          79         81
          39          82         55
          39          84         19
          40           2         30
          40           6         20
          40          14         17
          40          15         34
          40          16        151
          40          17         78
          40          18         95
          40          19         14
          40          20          7
          40          21        243
          40          22        119
          40          23         55
          40          24        134
          40          25        127
          40          26         26
          40          34         18
          40          35         47
          40          36         81
          40          37        100
          40          38        479
          40          39        144
          40          40        331
          40          41        193
          40          42        248
          40          43         68
          40          44         71
          40          45         33
          40          46        152
          40          47         25
          40          48         71
          40          49        114
          40          50        176
          40          51         20
          40          52         52
          40          53         11
          40          54         49
          40          55        126
          40          56         50
          40          57        182
          40          58         37
          40          60         38
          40          62         37
          40          63         34
          40          64         21
          40          65         84
          40          66         50
          40          67         52
          40          68        197
          40          69        312
          40          70         56
          40          71        163
          40          72         21
